Neighborhood,Total Population,0 to 17 Total,0 to 17 Total Poverty,0 to 17 Poverty Rate,18 to 34 Total,18 to 34 Total Poverty,18 to 34 Poverty Rate,35 to 64 Total,35 to 64 Total Poverty,35 to 64 years Poverty Rate,65 years and over Total,65 years and over Total Poverty,65 years and over Poverty Rate
Boston,"641,654","107,293","29,683",0.277,"231,290","44,351",0.192,"226,521","31,365",0.138,"76,550","15,965",0.209
A1,"39,343","3,270",464,0.141896024,"17,124","2,460",0.143658024,"12,918","1,260",0.097538319,"6,031","1,150",0.190681479
A7,"47,038","9,034","2,415",0.267,"15,775","2,284",0.145,"18,033","2,086",0.116,"4,196",763,0.182
A15,"19,800","3,948",825,0.209,"5,725",564,0.099,"7,949","1,147",0.144,"2,178",323,0.148
B2,"66,459","13,100","5,638",0.430381679,"23,569","7,604",0.32262718,"21,802","5,483",0.251490689,"7,988","3,143",0.393465198
B3,"26,278","6,409","2,315",0.361,"6,084",879,0.144,"10,361","1,626",0.157,"3,424",463,0.135
C6,"40,785","4,826","1,256",0.260256942,"19,083","1,465",0.0767699,"13,473","1,846",0.13701477,"3,403",835,0.245371731
C11,"126,173","27,641","9,569",0.346,"39,197","7,765",0.198,"44,565","7,842",0.176,"14,770","2,857",0.193
D4,"67,923","5,798","1,503",0.25922732,"30,890","8,897",0.288022014,"22,813","3,432",0.150440538,"8,422","2,132",0.253146521
D14,"66,164","5,835",986,0.168980291,"38,187","8,482",0.222117475,"15,629","1,558",0.09968648,"6,513","1,861",0.28573622
E5,"62,695","12,825","1,344",0.104795322,"13,243","1,025",0.077399381,"26,945","1,719",0.063796623,"9,682",890,0.091923156
E13,"39,985","6,480","1,132",0.175,"13,541","1,851",0.137,"15,540","1,476",0.095,"4,424",660,0.149
E18,"38,493","8,127","2,236",0.275,"8,735","1,001",0.115,"16,136","1,636",0.101,"5,495",870,0.158
