Neighborhood,Total population 25 years and over,Less than High School,Less than High School %,High School Graduate or GED,High School Graduate or GED %,Associate's or Some College,Associate's or Some College %,Bachelor's Degree,Bachelor's Degree %,Master's Degree or more,Master's Degree or more %
Boston,"473,775","60,508",0.128,"93,386",0.1971,"84,255",0.1778,"128,045",0.27,"107,581",0.227
A1,"33,744","2,650",0.07853248,"2,502",0.074146515,"2,959",0.087689663,"12,501",0.370465861,"13,132",0.389165481
A7,"33,947","9,228",0.272,"9,725",0.286475977,"5,182",0.152649719,"6,413",0.189,"3,399",0.1
A15,"15,069","1,192",0.079,"2,062",0.136837215,"1,656",0.109894485,"4,987",0.331,"5,172",0.343
B2,"43,712","9,412",0.215318448,"11,428",0.261438507,"10,128",0.231698389,"7,576",0.173316252,"5,168",0.118228404
B3,"18,095","2,632",0.145,"6,220",0.343741365,"5,539",0.306106659,"2,109",0.117,"1,595",0.088
C6,"33,628","2,430",0.072261211,"4,489",0.133489949,"3,954",0.117580588,"14,655",0.43579755,"8,100",0.240870703
C11,"86,012","15,449",0.18,"25,697",0.298760638,"19,657",0.228537878,"16,095",0.187,"9,114",0.106
D4,"53,295","4,218",0.079144385,"4,831",0.090646402,"5,654",0.106088751,"17,628",0.330762736,"20,964",0.393357726
D14,"50,082","3,231",0.064514197,"5,450",0.108821533,"6,721",0.134199912,"19,913",0.397607923,"14,767",0.294856435
E5,"47,237","3,677",0.077841523,"9,543",0.202023837,"9,759",0.206596524,"11,801",0.249825349,"12,457",0.263712768
E13,"31,245","2,490",0.08,"3,773",0.120755321,"4,675",0.14962394,"9,304",0.298,"11,003",0.352
E18,"27,240","3,759",0.138,"7,550",0.277165932,"8,210",0.301395007,"5,017",0.184,"2,704",0.099
